
AR PLASMA WITH DIFFUSION AND EXTERNAL CIRCUIT

pression, Pa           = 1.00E+02
gap length, cm         = 4.00E-01
channel radius, cm     = 4.00E-01
voltage, V             = 1.00E+03
resistance, Ohm        = 1.00E+05
gas temperature, K     = 3.00E+02
electrin density, cm-3 = 1.00E+06
end time, s            = 1.00E-03
PRESS ENTER TO CONTINUE ...
ZDPlasKin (version 2.0a) INIT:
  species        ... 8
  reactions      ... 13
  BOLSIG+ loader ... bolsigdb.dat : 2 species & 5 collisions
  species  link  ... 2
  process  link  ... 4
ZDPlasKin INFO: reset data and configuration
ZDPlasKin INFO: set accuracy 1.00D-10 (absolute) & 1.00D-05 (relative)
ZDPlasKin INIT DONE

        Time_s       dtime_s         EN_Td     Elec_cm-3
  6.714885E-06  4.264329E-10  2.626159E+00  3.149744E+11
  6.757804E-06  4.311293E-10  2.592370E+00  3.160709E+11
  6.801210E-06  4.373287E-10  2.559566E+00  3.171574E+11
  6.845126E-06  4.432680E-10  2.527171E+00  3.182328E+11
  6.889578E-06  4.469060E-10  2.495614E+00  3.192977E+11
  6.934583E-06  4.542652E-10  2.464912E+00  3.203527E+11
  6.980168E-06  4.593423E-10  2.434903E+00  3.213973E+11
  7.026358E-06  4.646577E-10  2.405274E+00  3.224324E+11
  7.073182E-06  4.708500E-10  2.376362E+00  3.234578E+11
  7.120668E-06  4.784900E-10  2.348466E+00  3.244735E+11
  7.168847E-06  4.865605E-10  2.321026E+00  3.254803E+11
  7.217753E-06  4.910935E-10  2.293979E+00  3.264780E+11
  7.267432E-06  5.009606E-10  2.268143E+00  3.274669E+11
  7.317915E-06  5.084476E-10  2.242494E+00  3.284474E+11
  7.369241E-06  5.157539E-10  2.217042E+00  3.294187E+11
  7.421460E-06  5.251296E-10  2.192835E+00  3.303821E+11
  7.474614E-06  5.342865E-10  2.168806E+00  3.313377E+11
  7.528763E-06  5.459366E-10  2.146094E+00  3.322853E+11
  7.583958E-06  5.579588E-10  2.123498E+00  3.332249E+11
  7.640247E-06  5.660296E-10  2.100787E+00  3.341567E+11
  7.697722E-06  5.819663E-10  2.079418E+00  3.350815E+11
  7.756432E-06  5.924608E-10  2.057715E+00  3.359989E+11
  7.816462E-06  6.047070E-10  2.036742E+00  3.369084E+11
  7.877903E-06  6.249945E-10  2.016353E+00  3.378105E+11
  7.940846E-06  6.406751E-10  1.996317E+00  3.387059E+11
  8.005401E-06  6.518204E-10  1.976528E+00  3.395944E+11
  8.071685E-06  6.707976E-10  1.957593E+00  3.404763E+11
  8.139821E-06  6.920715E-10  1.938947E+00  3.413516E+11
  8.209955E-06  7.090684E-10  1.919992E+00  3.422202E+11
  8.282267E-06  7.366919E-10  1.902541E+00  3.430832E+11
  8.356927E-06  7.574154E-10  1.884643E+00  3.439402E+11
  8.434161E-06  7.823704E-10  1.866881E+00  3.447910E+11
  8.514210E-06  8.096143E-10  1.850047E+00  3.456359E+11
  8.597374E-06  8.517794E-10  1.833782E+00  3.464757E+11
  8.683977E-06  8.878687E-10  1.817409E+00  3.473089E+11
  8.774407E-06  9.299120E-10  1.800814E+00  3.481362E+11
  8.869156E-06  9.681234E-10  1.785459E+00  3.489583E+11
  8.968797E-06  1.022589E-09  1.770172E+00  3.497749E+11
  9.074020E-06  1.088710E-09  1.754917E+00  3.505856E+11
  9.185756E-06  1.150837E-09  1.739919E+00  3.513912E+11
  9.305115E-06  1.240825E-09  1.725367E+00  3.521912E+11
  9.433623E-06  1.335365E-09  1.710888E+00  3.529862E+11
  9.573326E-06  1.455178E-09  1.696406E+00  3.537756E+11
  9.727254E-06  1.633270E-09  1.682705E+00  3.545604E+11
  9.899885E-06  1.846749E-09  1.669356E+00  3.553404E+11
  1.009866E-05  2.163820E-09  1.656024E+00  3.561156E+11
  1.033903E-05  3.605969E-09  1.618399E+00  3.568850E+11
  1.151027E-05  8.733439E-09  1.597044E+00  3.571898E+11
  1.208271E-05  4.387413E-09  1.609075E+00  3.564322E+11
  1.246987E-05  3.561887E-09  1.629429E+00  3.556664E+11
  1.279166E-05  3.187140E-09  1.640704E+00  3.548981E+11
  1.335780E-05  4.981667E-09  1.689708E+00  3.541050E+11
  1.381227E-05  4.213266E-09  1.703728E+00  3.533102E+11
  1.421209E-05  3.824987E-09  1.718262E+00  3.525109E+11
  1.458094E-05  3.568346E-09  1.732597E+00  3.517065E+11
  1.493047E-05  3.433533E-09  1.748319E+00  3.508969E+11
  1.526733E-05  3.322448E-09  1.762917E+00  3.500820E+11
  1.559601E-05  3.248772E-09  1.778447E+00  3.492619E+11
  1.591942E-05  3.229624E-09  1.794416E+00  3.484368E+11
  1.623998E-05  3.207462E-09  1.810481E+00  3.476054E+11
  1.655943E-05  3.204044E-09  1.826901E+00  3.467688E+11
  1.687948E-05  3.217129E-09  1.843333E+00  3.459267E+11
  1.720137E-05  3.244879E-09  1.860213E+00  3.450783E+11
  1.752632E-05  3.260592E-09  1.877286E+00  3.442238E+11
  1.785555E-05  3.320921E-09  1.894939E+00  3.433634E+11
  1.819024E-05  3.371138E-09  1.912996E+00  3.424972E+11
  1.853138E-05  3.452393E-09  1.931633E+00  3.416248E+11
  1.888030E-05  3.528094E-09  1.950032E+00  3.407457E+11
  1.923810E-05  3.622589E-09  1.969363E+00  3.398603E+11
  1.960614E-05  3.729943E-09  1.988865E+00  3.389677E+11
  1.998600E-05  3.856326E-09  2.009192E+00  3.380676E+11
  2.037906E-05  3.999492E-09  2.029380E+00  3.371615E+11
  2.078700E-05  4.159625E-09  2.049852E+00  3.362485E+11
  2.121209E-05  4.349690E-09  2.071853E+00  3.353273E+11
  2.165643E-05  4.546264E-09  2.093407E+00  3.343993E+11
  2.212273E-05  4.788078E-09  2.115921E+00  3.334631E+11
  2.261383E-05  5.053616E-09  2.139197E+00  3.325197E+11
  2.313388E-05  5.356778E-09  2.161692E+00  3.315694E+11
  2.368717E-05  5.713986E-09  2.185384E+00  3.306101E+11
